ship,name,entry,date_from,date_to,conf,anchorage,offshore
chirtkov,Chirtkov,"Chirtkov, 1817",1817,1817,year,Santa Bárbara,False
columbia,Columbia,"Columbia, 1817",1817,1817,year,Trinidad,False
columbia,Columbia,"Columbia, 1817",1817-08-08,1817-08-08,exact,Bodega,False
columbia,Columbia,"Columbia, 1817",1817,1817,year,Trinidad,False
kutusov,Kutusov,"Kutusov, 1817",1817,1817,year,Bodega,False
kutusov,Kutusov,"Kutusov, 1817",1817,1817,year,San Francisco,False
kutusov,Kutusov,"Kutusov, 1817",1817,1817,year,San Francisco,False
bordelais,Bordelais,"Bordelais, 1818",1818-10-20,1818-10-20,exact,San Francisco,False
clarion,Clarion,"Clarion, 1818",1818,1818,year,Santa Bárbara,False
kutusov,Kutusov,"Kutusov, 1818",1818,1818,year,Monterey,False
kutusov,Kutusov,"Kutusov, 1818",1818,1818,year,Santa Cruz,False
kutusov,Kutusov,"Kutusov, 1818",1818,1818,year,Monterey,False
okhotsk,Okhotsk,"Okhotsk, 1818",1818,1818,year,Bodega,False
iimen,Iimen,"Iimen, 1820",1820,1820,year,Monterey,False
iimen,Iimen,"Iimen, 1820",1820,1820,year,Santa Bárbara,False
iimen,Iimen,"Iimen, 1820",1820,1820,year,San Francisco,False
iimen,Iimen,"Iimen, 1820",1820,1820,year,Monterey,False
eagle,Eagle,"Eagle, 1821",1821,1821,year,Bodega,False
eagle,Eagle,"Eagle, 1821",1821-09-03,1821-09-03,exact,San Francisco,False
eagle,Eagle,"Eagle, 1821",1821,1821,year,Santa Bárbara,False
eagle,Eagle,"Eagle, 1821",1821,1821,year,Santa Catalina I.,False
eagle,Eagle,"Eagle, 1821",1821,1821,year,San Diego,False
eagle,Eagle,"Eagle, 1821",1821,1821,year,San Pedro,False
eagle,Eagle,"Eagle, 1821",1821,1821,year,San Juan Capistrano,False
eagle,Eagle,"Eagle, 1822",1822,1822,year,Monterey,False
eagle,Eagle,"Eagle, 1822",1822,1822,year,Santa Bárbara,False
volga,Volga,"Volga, 1822",1822,1822,year,San Francisco,False
volga,Volga,"Volga, 1822",1822,1822,year,Monterey,False
sachem,Sachem,"Sachem, 1822-1823",1822,1822,year,Monterey,False
sachem,Sachem,"Sachem, 1822-1823",1822,1822,year,San Diego,False
sachem,Sachem,"Sachem, 1822-1823",1822,1822,year,San Diego,False
sachem,Sachem,"Sachem, 1822-1823",1822,1822,year,San Francisco,False
sachem,Sachem,"Sachem, 1822-1823",1822,1822,year,San Francisco,False
sachem,Sachem,"Sachem, 1822-1823",1822,1822,year,Monterey,False
ann,Ann,"Ann, 1823",1823,1823,year,Monterey,False
ann,Ann,"Ann, 1823",1823,1823,year,Monterey,False
ann,Ann,"Ann, 1823",1823,1823,year,San Luis Obispo,False
ann,Ann,"Ann, 1823",1823,1823,year,San Blas,False
buldakov,Buldakov,"Buldakov, 1823",1823,1823,year,San Francisco,False
buldakov,Buldakov,"Buldakov, 1823",1823,1823,year,Santa Cruz,False
mentor,Mentor,"Mentor, 1823",1823,1823,year,Bodega,False
mentor,Mentor,"Mentor, 1823",1823,1823,year,Monterey,False
mentor,Mentor,"Mentor, 1823",1823,1823,year,San Francisco,False
mentor,Mentor,"Mentor, 1823",1823,1823,year,Monterey,False
rover,Rover,"Rover, 1823",1823-06-11,1823-06-11,exact,San Francisco,False
rover,Rover,"Rover, 1823",1823,1823,year,Santa Cruz,False
rover,Rover,"Rover, 1823",1823-07-19,1823-07-19,exact,Monterey,False
rover,Rover,"Rover, 1823-1824",1824-01-18,1824-01-18,exact,Monterey,False
rover,Rover,"Rover, 1823-1824",1824,1824,year,San Francisco,False
rover,Rover,"Rover, 1823-1824",1824,1824,year,Monterey,False
becket,Becket,"Becket, 1824",1824,1824,year,San Pedro,False
mentor,Mentor,"Mentor, 1824",1824,1824,year,Bodega,False
mentor,Mentor,"Mentor, 1824",1824,1824,year,Monterey,False
mentor,Mentor,"Mentor, 1824",1824,1824,year,San Francisco,False
mentor,Mentor,"Mentor, 1824",1824,1824,year,Santa Bárbara,False
mentor,Mentor,"Mentor, 1824",1824,1824,year,San Diego,False
owhyhee,Owhyhee,"Owhyhee, 1824",1824,1824,year,Bodega,False
owhyhee,Owhyhee,"Owhyhee, 1824",1824,1824,year,San Francisco,False
owhyhee,Owhyhee,"Owhyhee, 1824",1824,1824,year,San Pedro,False
owhyhee,Owhyhee,"Owhyhee, 1824",1824,1824,year,Monterey,False
washington,Washington,"Washington, 1824",1824,1824,year,Bodega,False
washington,Washington,"Washington, 1824",1824,1824,year,San Francisco,False
washington,Washington,"Washington, 1824",1824,1824,year,Monterey,False
washington,Washington,"Washington, 1824",1824,1824,year,San Luis Obispo,False
rover,Rover,"Rover, 1824-1825",1824,1824,year,Monterey,False
rover,Rover,"Rover, 1824-1825",1824-12-01,1824-12-01,exact,Bodega,False
rover,Rover,"Rover, 1824-1825",1824,1824,year,San Francisco,False
rover,Rover,"Rover, 1824-1825",1824-03-23,1824-03-23,exact,Monterey,False
nile,Nile,"Nile, 1825",1825,1825,year,Bodega,False
nile,Nile,"Nile, 1825",1825,1825,year,San Francisco,False
nile,Nile,"Nile, 1825",1825,1825,year,Santa Bárbara,False
tamaahmaah,Tamaahmaah,"Tamaahmaah, 1825",1825,1825,year,San Francisco,False
washington,Washington,"Washington, 1825",1825,1825,year,San Francisco,False
