ship_id,year,port,n_mentions,any_fulldate,status,hv,first_pos,snippet,triage,why
sonora,1782,,2,False,new-candidate,1,1266687,"ra are the same person), with 9 soldiers, one settler, and a muleteer, was killed while bringing supplies from Sonora. Sales, Noticias, Carta iii. 65-7, tells us tlie assailants were 20,000 in number. Velasco, Sdn., 151;",weak-new,"known ship, undated narrative mention"
sonora,1783,Loreto,1,False,new-candidate,1,1333402,"ain to Loreto to meet his wife Dona Eulalia de Callis and his little son Pedrito whom he had left behind in Sonora. The lady had consented at the solicitation of General Neve and Captain Romeu, and on their assurance tha",weak-new,"known ship, undated narrative mention"
sonora,1791,San Francisco,1,False,new-candidate,1,39197,illa de Brauciforte — Protest of the Fran- ciscans— Plan to Open Communication with New Mexico — Colorado Route to Sonora 5d0 CHAPTER XXVn. Mission PKOGKESS. 1791-lSOO. Arrival and Departure of Padres— General Statistica,weak-new,"known ship, undated narrative mention"
sonora,1792,,1,False,new-candidate,1,1923907,"e extent enforced. Neo- phytes sometimes stowed tlaemselves away on the San Bias vessels, or escaped by land to Sonora.^* The laws required an alcalde and several regidores to be elected annually in each mission, a polic",weak-new,"known ship, undated narrative mention"
sonora,1793,San Diego,1,True,new-candidate,1,2106779,"er 1793. In May of the preceding year he had been promoted to cap- tain and appointed commandant of Tucson in Sonora; but he was obliged to wait the arrival of his successor, who assumed the offices of com andante and ha",strong-new,"known ship, dated HoC event, no existing row that year"
sonora,1795,San Francisco,1,False,new-candidate,1,2358386," he also cherished the hope of still further pro- motion to a generalship, or at least to the governorship of Sonora, Durango, or Zacatecas. To this end he sent large sums of money to Spain to be used at court, but his a",weak-new,"known ship, undated narrative mention"
sonora,1819,Monterey,1,False,new-candidate,2,754382," strain every nerve in the defence of his country, but immediately sent orders to Guadalajara and San Bias and Sonora that two vessels should be despatched forthwith with all the troops and munitions of war they could ca",weak-new,"known ship, undated narrative mention"
sonora,1823,,1,False,new-candidate,2,1728573,"who came under an 6pata chief in 1822 and were sent back to the Colorado, the arrival of Captain Romero from Sonora in 1823 and different official reports. In 1822 there were 64 white persons connected with the mission, ",weak-new,"known ship, undated narrative mention"
sonora,1824,Loreto,1,False,new-candidate,2,1530998,"t had to prepare for the start. Two parties of Indians soon arrived in search of Komero with despatches from Sonora; but an Indian revolt which occurred this spring, and will be described in the next chapter, prevented h",weak-new,"known ship, undated narrative mention"
sonora,1826,,1,True,new-candidate,2,2032058,"ii. 283-7, 209, 439-40; Arch. Misioncs, MS., i. 277, 279. Arrival of holy oil is noted in 1822 and lS2d from Sonora, and in 1826 from Puebla. ""Feb. 11, 1824, Sarrfa to Argiiello, in Arch. Arzoh., MS., iv. pt. ii. 86. Oct",strong-new,"known ship, dated HoC event, no existing row that year"
sonora,1847,,1,False,new-candidate,2,2660629,"Larkiu chartered the Mary, on which he brought a cargo of goods from Mazatlan, bringing a drove of mules from Sonora by land the next year; in '50 a trader at Sacramento, and later engaged in stock- raising on his Tehama",weak-new,"known ship, undated narrative mention"
sta barbara,1784,Santa Bárbara,1,True,new-candidate,2,302780,"ra for 12 years from May 26, 1783. His first son Carlos Antonio was baptized at Santa Barbara Feb. 17, 1784. Sta Barbara, Lib. de Mision, MS., 3. In 1795 he was transferred to Monterey, and on April 27, 1795 was com- ini",strong-new,"known ship, dated HoC event, no existing row that year"
sta barbara,1786,,1,False,new-candidate,1,1915371,"The priests are not pleased at this. Prov. St. Pap. , MS., xxi. 42. '5 On measures adopted 1786-8, see Arch. Sta Barbara, MS., x.' 2(57-70; xi. 52-3, 241-2; xii. 40-1; Prov. St. Pap., MS., vi. 202-3; viii. 1-3. It seems ",weak-new,"known ship, undated narrative mention"
